policy_name,policy_type,threshold,per_step_thresholds,avg_f1,avg_em,avg_steps,avg_cost,normalized_cost,utility,utility_lambda,is_feasible_under_gw_cap,steps_gap_to_gw_dev
global@0.01,global,0.01,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.03,global,0.03,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.05,global,0.05,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.07,global,0.07,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.09,global,0.09,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.11,global,0.11,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.13,global,0.13,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.15,global,0.15,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.17,global,0.17,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.19,global,0.19,,0.4213785,0.308,4.999,0.24994999999999998,0.9997499999999999,0.3214035,0.1,False,2.034
global@0.21,global,0.21,,0.4213785,0.308,4.998,0.2499,0.9995,0.3214285,0.1,False,2.0330000000000004
global@0.23,global,0.23,,0.4223785,0.309,4.989,0.24944999999999998,0.9972499999999999,0.3226535,0.1,False,2.024
global@0.25,global,0.25,,0.42287849999999993,0.31,4.973,0.24865,0.9932500000000001,0.32355349999999994,0.1,False,2.008
global@0.27,global,0.27,,0.42481179999999996,0.313,4.943,0.24715,0.98575,0.32623679999999994,0.1,False,1.9779999999999998
global@0.29,global,0.29,,0.42481179999999996,0.313,4.91,0.2455,0.9774999999999999,0.32706179999999996,0.1,False,1.9450000000000003
global@0.31,global,0.31,,0.42681179999999996,0.315,4.86,0.243,0.965,0.33031179999999993,0.1,False,1.8950000000000005
global@0.33,global,0.33,,0.42826179999999997,0.317,4.805,0.24025,0.9512499999999999,0.33313679999999996,0.1,False,1.8399999999999999
global@0.35,global,0.35,,0.4295951,0.319,4.703,0.23515,0.92575,0.3370201,0.1,False,1.7380000000000004
global@0.37,global,0.37,,0.4303951,0.321,4.597,0.22985,0.89925,0.3404701,0.1,False,1.6320000000000006
global@0.39,global,0.39,,0.4328951,0.324,4.473,0.22365000000000002,0.8682500000000001,0.34607009999999994,0.1,False,1.508
global@0.41,global,0.41,,0.432905,0.325,4.342,0.2171,0.8354999999999999,0.34935499999999997,0.1,False,1.3769999999999998
global@0.43,global,0.43,,0.43185270000000003,0.321,4.195,0.20975,0.79875,0.35197770000000006,0.1,False,1.2300000000000004
global@0.45,global,0.45,,0.43417409999999995,0.324,4.029,0.20145,0.75725,0.35844909999999996,0.1,False,1.064
global@0.47,global,0.47,,0.4370338,0.326,3.853,0.19265000000000002,0.71325,0.36570879999999995,0.1,False,0.8880000000000003
global@0.49,global,0.49,,0.4407067,0.331,3.694,0.18470000000000003,0.6735000000000001,0.3733567,0.1,False,0.7290000000000001
global@0.51,global,0.51,,0.4440979,0.33,3.455,0.17275,0.6137499999999999,0.3827229,0.1,False,0.4900000000000002
global@0.53,global,0.53,,0.4449707,0.326,3.255,0.16275,0.56375,0.3885957,0.1,False,0.29000000000000004
global@0.55,global,0.55,,0.4424979,0.322,3.1,0.15500000000000003,0.5250000000000001,0.3899979,0.1,True,0.13500000000000023
global@0.57,global,0.57,,0.4332943,0.313,2.92,0.146,0.4799999999999999,0.38529430000000003,0.1,True,-0.04499999999999993
global@0.59,global,0.59,,0.4286142,0.306,2.759,0.13795,0.4397499999999999,0.3846392,0.1,True,-0.20599999999999996
global@0.61,global,0.61,,0.42890609999999996,0.308,2.62,0.13100000000000003,0.40500000000000014,0.3884060999999999,0.1,True,-0.34499999999999975
global@0.63,global,0.63,,0.42202639999999997,0.3,2.479,0.12395000000000002,0.36975000000000013,0.38505139999999993,0.1,True,-0.48599999999999977
global@0.65,global,0.65,,0.40739929999999996,0.286,2.336,0.11680000000000001,0.334,0.3739993,0.1,True,-0.629
global@0.67,global,0.67,,0.3924396,0.271,2.216,0.11080000000000002,0.3040000000000001,0.3620396,0.1,True,-0.7489999999999997
global@0.69,global,0.69,,0.3730443,0.255,2.07,0.10350000000000001,0.2675,0.3462943,0.1,True,-0.895
global@0.71,global,0.71,,0.3609706,0.243,1.934,0.09670000000000004,0.23350000000000015,0.33762059999999994,0.1,True,-1.031
global@0.73,global,0.73,,0.3401864,0.226,1.8,0.09000000000000001,0.2,0.3201864,0.1,True,-1.1649999999999998
global@0.75,global,0.75,,0.32058889999999995,0.207,1.687,0.08435000000000002,0.17175000000000007,0.30341389999999996,0.1,True,-1.2779999999999998
global@0.77,global,0.77,,0.2942104,0.186,1.56,0.07800000000000001,0.14000000000000004,0.28021039999999997,0.1,True,-1.4049999999999998
global@0.79,global,0.79,,0.2669111,0.164,1.447,0.07235000000000003,0.11175000000000009,0.2557361,0.1,True,-1.5179999999999998
global@0.81,global,0.81,,0.23227019999999998,0.132,1.31,0.06550000000000002,0.07750000000000004,0.22452019999999998,0.1,True,-1.6549999999999998
global@0.83,global,0.83,,0.20823670000000002,0.112,1.193,0.059650000000000016,0.048250000000000036,0.20341170000000003,0.1,True,-1.7719999999999998
global@0.85,global,0.85,,0.1656036,0.077,1.093,0.05465000000000001,0.02325000000000001,0.1632786,0.1,True,-1.8719999999999999
global@0.87,global,0.87,,0.1463468,0.062,1.044,0.05220000000000001,0.011000000000000005,0.1452468,0.1,True,-1.9209999999999998
global@0.89,global,0.89,,0.1360831,0.053,1.016,0.05080000000000001,0.0040000000000000105,0.1356831,0.1,True,-1.9489999999999998
global@0.91,global,0.91,,0.13074970000000002,0.048,1.002,0.050100000000000006,0.0004999999999999796,0.13069970000000003,0.1,True,-1.9629999999999999
