dataset,margin_key,binning,bucket,n,margin_interval,margin_low_in_bucket,margin_high_in_bucket,mean_f1_probe,mean_f1_gw,mean_delta_probe_minus_gw,probe_better_frac,meta_n_test
hotpotqa,min_path,fixed,0,8,"[0, 0.01)",0.0,0.008799999999999919,0.374425,0.30827499999999997,0.06615000000000004,0.125,1000
hotpotqa,min_path,fixed,1,99,"[0.01, 0.05)",0.021399999999999975,0.04999999999999999,0.44241919191919193,0.46635858585858586,-0.023939393939393927,0.06060606060606061,1000
hotpotqa,min_path,fixed,2,853,"[0.05, 0.1)",0.05,0.09999999999999998,0.6970287221570926,0.7552570926143024,-0.058228370457209855,0.022274325908558032,1000
hotpotqa,min_path,fixed,3,40,"[0.1, 1]",0.10000000000000002,0.8499999999999999,0.38783,0.40844500000000006,-0.02061500000000005,0.1,1000
hotpotqa,min_path,fixed,-1,1000,ALL,0.0,0.8499999999999999,0.6568736000000001,0.7092078,-0.0523342,0.03,1000
musique,min_path,fixed,0,11,"[0, 0.01)",0.0,0.008799999999999995,0.056563636363636365,0.09311818181818182,-0.03655454545454546,0.45454545454545453,417
musique,min_path,fixed,1,54,"[0.01, 0.05)",0.011099999999999985,0.04999999999999999,0.2980740740740741,0.33602592592592595,-0.03795185185185185,0.12962962962962962,417
musique,min_path,fixed,2,312,"[0.05, 0.1)",0.05,0.09999999999999998,0.44180064102564104,0.47197115384615385,-0.030170512820512807,0.038461538461538464,417
musique,min_path,fixed,3,40,"[0.1, 1]",0.10000000000000009,0.8499999999999999,0.46480999999999995,0.24796749999999998,0.21684249999999997,0.3,417
musique,min_path,fixed,-1,417,ALL,0.0,0.8499999999999999,0.4152335731414868,0.42288585131894485,-0.007652278177458035,0.08633093525179857,417
2wiki,min_path,fixed,0,1,"[0, 0.01)",0.004500000000000004,0.004500000000000004,0.4,0.4,0.0,0.0,1000
2wiki,min_path,fixed,1,85,"[0.01, 0.05)",0.01429999999999998,0.04999999999999999,0.5133176470588235,0.5516611764705882,-0.038343529411764665,0.047058823529411764,1000
2wiki,min_path,fixed,2,879,"[0.05, 0.1)",0.05,0.050000000000000044,0.5675608646188851,0.6593617747440272,-0.09180091012514213,0.012514220705346985,1000
2wiki,min_path,fixed,3,35,"[0.1, 1]",0.10000000000000009,0.8499999999999999,0.6004771428571428,0.5158485714285713,0.0846285714285715,0.22857142857142856,1000
2wiki,min_path,fixed,-1,1000,ALL,0.004500000000000004,0.8499999999999999,0.5639347,0.6449249,-0.0809902,0.023,1000
