dataset,slice,bucket,n_steps,frac_of_slice,oracle_continue_rate,pred_continue_rate,cm_tn,cm_fp,cm_fn,cm_tp,precision_continue,recall_continue,probe_step_f1,probe_accuracy,probe_error_rate,mean_abs_margin_in_bucket
hotpotqa,full,lt_005,283,0.07083854818523154,0.0353356890459364,0.09187279151943463,249.0,24.0,8.0,2.0,0.07692307692307693,0.2,0.1111111111111111,0.8869257950530035,0.11307420494699649,0.04805017667844522
hotpotqa,full,05_01,2819,0.7056320400500625,0.0024831500532103584,0.10180915218162469,2528.0,284.0,4.0,3.0,0.010452961672473868,0.42857142857142855,0.02040816326530612,0.8978361120964882,0.10216388790351183,0.0502322100035474
hotpotqa,full,ge_01,893,0.2235294117647059,0.7267637178051511,0.5016797312430011,193.0,51.0,252.0,397.0,0.8861607142857143,0.6117103235747303,0.723792160437557,0.6606942889137738,0.3393057110862262,0.6602311310190369
hotpotqa,full,ALL,3995,1.0,0.16670838548185232,0.19048811013767208,2970.0,359.0,264.0,402.0,0.5282522996057819,0.6036036036036037,0.5634197617379118,0.8440550688360451,0.15594493116395491,0.18643033792240302
musique,full,lt_005,129,0.07733812949640288,0.17829457364341086,0.5193798449612403,59.0,47.0,3.0,20.0,0.29850746268656714,0.8695652173913043,0.4444444444444444,0.6124031007751938,0.3875968992248062,0.04002635658914728
musique,full,05_01,951,0.5701438848920863,0.005257623554153523,0.45636172450052576,516.0,430.0,1.0,4.0,0.009216589861751152,0.8,0.018223234624145785,0.5467928496319664,0.4532071503680336,0.05103901156677184
musique,full,ge_01,588,0.35251798561151076,0.8384353741496599,0.8044217687074829,55.0,40.0,60.0,433.0,0.9154334038054969,0.8782961460446247,0.8964803312629399,0.8299319727891157,0.17006802721088432,0.6851647959183673
musique,full,ALL,1668,1.0,0.31235011990407674,0.5839328537170264,630.0,517.0,64.0,457.0,0.46919917864476385,0.8771593090211133,0.611371237458194,0.6516786570743405,0.3483213429256595,0.2737280575539568
2wiki,full,lt_005,215,0.05375,0.018604651162790697,0.13023255813953488,185.0,26.0,2.0,2.0,0.07142857142857142,0.5,0.125,0.8697674418604651,0.13023255813953494,0.04923767441860463
2wiki,full,05_01,2820,0.705,0.0024822695035460994,0.11453900709219858,2495.0,318.0,2.0,5.0,0.015479876160990712,0.7142857142857143,0.030303030303030304,0.8865248226950354,0.11347517730496459,0.05021663120567378
2wiki,full,ge_01,965,0.24125,0.7077720207253886,0.5160621761658031,249.0,33.0,218.0,465.0,0.9337349397590361,0.6808199121522694,0.7874682472480948,0.7398963730569948,0.26010362694300515,0.7256117098445595
2wiki,full,ALL,4000,1.0,0.1735,0.21225,2929.0,377.0,222.0,472.0,0.5559481743227326,0.6801152737752162,0.6117952041477641,0.85025,0.14975000000000005,0.213103075
