policy_name,policy_type,threshold,per_step_thresholds,avg_f1,avg_em,avg_steps,avg_cost,normalized_cost,utility,utility_lambda,is_feasible_under_gw_cap,steps_gap_to_gw_dev
global@0.01,global,0.01,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.03,global,0.03,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.05,global,0.05,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.07,global,0.07,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.09,global,0.09,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.11,global,0.11,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.13,global,0.13,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.15,global,0.15,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.17,global,0.17,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.19,global,0.19,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.21,global,0.21,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.23,global,0.23,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.25,global,0.25,,0.5354222999999999,0.416,4.991,0.24955000000000002,0.9977500000000001,0.4356472999999999,0.1,False,3.218
global@0.27,global,0.27,,0.5354222999999999,0.416,4.977,0.24885,0.99425,0.4359972999999999,0.1,False,3.2040000000000006
global@0.29,global,0.29,,0.5354222999999999,0.416,4.942,0.24710000000000001,0.9855,0.4368722999999999,0.1,False,3.1690000000000005
global@0.31,global,0.31,,0.5360889999999999,0.416,4.881,0.24405000000000002,0.9702500000000001,0.4390639999999999,0.1,False,3.1080000000000005
global@0.33,global,0.33,,0.5370889999999999,0.417,4.811,0.24055,0.9527500000000001,0.44181399999999993,0.1,False,3.0380000000000003
global@0.35,global,0.35,,0.5397557,0.42,4.687,0.23435,0.92175,0.44758069999999994,0.1,False,2.9140000000000006
global@0.37,global,0.37,,0.5417557,0.422,4.558,0.22790000000000005,0.8895000000000002,0.4528056999999999,0.1,False,2.785
global@0.39,global,0.39,,0.5442002,0.424,4.428,0.2214,0.8570000000000001,0.4585002,0.1,False,2.6550000000000002
global@0.41,global,0.41,,0.5475335,0.428,4.257,0.21284999999999998,0.8142499999999999,0.46610850000000004,0.1,False,2.484
global@0.43,global,0.43,,0.5536183,0.436,4.076,0.2038,0.769,0.4767183,0.1,False,2.303
global@0.45,global,0.45,,0.5556207,0.439,3.847,0.19235000000000002,0.7117500000000001,0.4844457,0.1,False,2.074
global@0.47,global,0.47,,0.5586658999999999,0.446,3.638,0.18190000000000003,0.6595000000000001,0.49271589999999993,0.1,False,1.865
global@0.49,global,0.49,,0.5703208,0.461,3.424,0.17120000000000002,0.6060000000000001,0.5097208,0.1,False,1.651
global@0.51,global,0.51,,0.5774864,0.473,3.2,0.16,0.5499999999999999,0.5224864,0.1,False,1.4270000000000003
global@0.53,global,0.53,,0.5796468,0.478,2.96,0.14800000000000002,0.49000000000000005,0.5306468,0.1,False,1.187
global@0.55,global,0.55,,0.5816962000000001,0.484,2.772,0.13860000000000003,0.4430000000000001,0.5373962000000001,0.1,False,0.9989999999999999
global@0.57,global,0.57,,0.5870439000000001,0.491,2.586,0.1293,0.39649999999999996,0.5473939000000001,0.1,False,0.813
global@0.59,global,0.59,,0.5857891,0.491,2.459,0.12295000000000002,0.36475000000000013,0.5493140999999999,0.1,False,0.6860000000000002
global@0.61,global,0.61,,0.5970362,0.505,2.346,0.11730000000000002,0.3365,0.5633862000000001,0.1,False,0.5730000000000002
global@0.63,global,0.63,,0.5996379,0.508,2.248,0.11240000000000003,0.3120000000000001,0.5684378999999999,0.1,False,0.4750000000000003
global@0.65,global,0.65,,0.5942332,0.502,2.167,0.10835000000000003,0.2917500000000001,0.5650582,0.1,False,0.3939999999999999
global@0.67,global,0.67,,0.5961388,0.505,2.075,0.10375000000000002,0.2687500000000001,0.5692638,0.1,False,0.30200000000000027
global@0.69,global,0.69,,0.5907136000000001,0.499,1.955,0.09775000000000003,0.23875000000000013,0.5668386000000001,0.1,False,0.18200000000000016
global@0.71,global,0.71,,0.5780689999999999,0.487,1.834,0.09170000000000002,0.20850000000000005,0.5572189999999999,0.1,True,0.061000000000000165
global@0.73,global,0.73,,0.5707865,0.479,1.748,0.08740000000000002,0.18700000000000006,0.5520864999999999,0.1,True,-0.02499999999999991
global@0.75,global,0.75,,0.5527981999999999,0.464,1.648,0.0824,0.16199999999999998,0.5365981999999999,0.1,True,-0.125
global@0.77,global,0.77,,0.5302046,0.442,1.557,0.07785,0.13924999999999998,0.5162796000000001,0.1,True,-0.21599999999999997
global@0.79,global,0.79,,0.518192,0.432,1.477,0.07385000000000001,0.11925000000000002,0.506267,0.1,True,-0.2959999999999998
global@0.81,global,0.81,,0.5002344,0.416,1.407,0.07035000000000001,0.10175000000000001,0.4900594,0.1,True,-0.3659999999999999
global@0.83,global,0.83,,0.47546269999999996,0.396,1.328,0.0664,0.08199999999999996,0.4672627,0.1,True,-0.44499999999999984
global@0.85,global,0.85,,0.4513562,0.375,1.26,0.06300000000000001,0.06500000000000003,0.4448562,0.1,True,-0.5129999999999999
global@0.87,global,0.87,,0.41990890000000003,0.344,1.196,0.05980000000000001,0.04900000000000002,0.4150089,0.1,True,-0.577
global@0.89,global,0.89,,0.380036,0.31,1.135,0.056750000000000016,0.03375000000000003,0.37666099999999997,0.1,True,-0.6379999999999999
global@0.91,global,0.91,,0.34937450000000003,0.283,1.088,0.05440000000000001,0.02200000000000001,0.34717450000000005,0.1,True,-0.6849999999999998
global@0.93,global,0.93,,0.3266078,0.265,1.048,0.05240000000000001,0.011999999999999999,0.3254078,0.1,True,-0.7249999999999999
global@0.95,global,0.95,,0.3098653,0.249,1.027,0.05135000000000001,0.006749999999999986,0.30919030000000003,0.1,True,-0.746
global@0.97,global,0.97,,0.2974562,0.235,1.012,0.050600000000000006,0.0029999999999999823,0.2971562,0.1,True,-0.7609999999999999
