policy_name,policy_type,threshold,per_step_thresholds,avg_f1,avg_em,avg_steps,avg_cost,normalized_cost,utility,utility_lambda,is_feasible_under_gw_cap,steps_gap_to_gw_dev
global@0.01,global,0.01,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.03,global,0.03,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.05,global,0.05,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.07,global,0.07,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.09,global,0.09,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.11,global,0.11,,0.5354222999999999,0.416,4.998,0.2499,0.9995,0.4354722999999999,0.1,False,3.2250000000000005
global@0.13,global,0.13,,0.5354222999999999,0.416,4.995,0.24975,0.99875,0.4355472999999999,0.1,False,3.2220000000000004
global@0.15,global,0.15,,0.5354222999999999,0.416,4.985,0.24925,0.99625,0.4357972999999999,0.1,False,3.2120000000000006
global@0.17,global,0.17,,0.5354222999999999,0.416,4.97,0.2485,0.9924999999999999,0.4361722999999999,0.1,False,3.197
global@0.19,global,0.19,,0.5360889999999999,0.416,4.948,0.24739999999999998,0.9869999999999999,0.4373889999999999,0.1,False,3.1750000000000007
global@0.21,global,0.21,,0.5360889999999999,0.416,4.921,0.24605000000000002,0.9802500000000001,0.4380639999999999,0.1,False,3.1480000000000006
global@0.23,global,0.23,,0.5360889999999999,0.416,4.891,0.24455000000000002,0.9727500000000001,0.4388139999999999,0.1,False,3.1180000000000003
global@0.25,global,0.25,,0.5360889999999999,0.416,4.868,0.24339999999999998,0.9669999999999999,0.4393889999999999,0.1,False,3.0950000000000006
global@0.27,global,0.27,,0.5370889999999999,0.417,4.825,0.24125,0.9562499999999999,0.4414639999999999,0.1,False,3.0520000000000005
global@0.29,global,0.29,,0.5380889999999999,0.418,4.785,0.23925,0.9462499999999999,0.4434639999999999,0.1,False,3.0120000000000005
global@0.31,global,0.31,,0.5377557,0.417,4.73,0.23650000000000002,0.9325000000000001,0.44450569999999995,0.1,False,2.9570000000000007
global@0.33,global,0.33,,0.5407557,0.42,4.668,0.2334,0.9169999999999999,0.44905569999999995,0.1,False,2.8950000000000005
global@0.35,global,0.35,,0.5435335,0.423,4.601,0.23005,0.90025,0.4535085,0.1,False,2.8280000000000003
global@0.37,global,0.37,,0.5460335,0.427,4.505,0.22525,0.87625,0.45840849999999994,0.1,False,2.732
global@0.39,global,0.39,,0.5482239,0.429,4.414,0.2207,0.8535,0.46287389999999995,0.1,False,2.641
global@0.41,global,0.41,,0.5531445,0.436,4.281,0.21405000000000002,0.82025,0.4711195,0.1,False,2.508
global@0.43,global,0.43,,0.5575912999999999,0.442,4.108,0.20540000000000003,0.7770000000000001,0.4798912999999999,0.1,False,2.335
global@0.45,global,0.45,,0.5671366,0.454,3.952,0.19760000000000003,0.7380000000000001,0.49333659999999996,0.1,False,2.1790000000000003
global@0.47,global,0.47,,0.5717588,0.462,3.757,0.18785000000000002,0.68925,0.5028338,0.1,False,1.9840000000000002
global@0.49,global,0.49,,0.5812927999999999,0.473,3.533,0.17665000000000003,0.6332500000000001,0.5179678,0.1,False,1.76
global@0.51,global,0.51,,0.5878743,0.484,3.253,0.16265000000000004,0.5632500000000001,0.5315493,0.1,False,1.4800000000000002
global@0.53,global,0.53,,0.5869196999999999,0.488,3.013,0.15065,0.50325,0.5365947,0.1,False,1.24
global@0.55,global,0.55,,0.5885547,0.492,2.764,0.13820000000000002,0.44100000000000006,0.5444547,0.1,False,0.9909999999999999
global@0.57,global,0.57,,0.5950476,0.501,2.562,0.12810000000000002,0.39050000000000007,0.5559976,0.1,False,0.7889999999999999
global@0.59,global,0.59,,0.5916936,0.498,2.38,0.11900000000000002,0.3450000000000001,0.5571936000000001,0.1,False,0.607
global@0.61,global,0.61,,0.5892762,0.494,2.21,0.11050000000000003,0.3025000000000001,0.5590262,0.1,False,0.43700000000000006
global@0.63,global,0.63,,0.5886105,0.492,2.042,0.10210000000000002,0.2605000000000001,0.5625605,0.1,False,0.2689999999999999
global@0.65,global,0.65,,0.5720691999999999,0.476,1.919,0.09595000000000002,0.22975000000000007,0.5490942,0.1,False,0.14600000000000013
global@0.67,global,0.67,,0.5622702,0.468,1.787,0.08935000000000003,0.1967500000000001,0.5425952,0.1,True,0.014000000000000012
global@0.69,global,0.69,,0.556196,0.463,1.703,0.08515,0.17575,0.538621,0.1,True,-0.06999999999999984
global@0.71,global,0.71,,0.5427557000000001,0.45,1.618,0.08090000000000001,0.15450000000000003,0.5273057000000001,0.1,True,-0.1549999999999998
global@0.73,global,0.73,,0.5280507999999999,0.433,1.544,0.07720000000000002,0.13600000000000007,0.5144507999999999,0.1,True,-0.22899999999999987
global@0.75,global,0.75,,0.5175452,0.427,1.469,0.07345000000000002,0.11725000000000003,0.5058202,0.1,True,-0.3039999999999998
global@0.77,global,0.77,,0.4953173999999999,0.409,1.4,0.07000000000000002,0.10000000000000006,0.4853173999999999,0.1,True,-0.373
global@0.79,global,0.79,,0.47847009999999995,0.393,1.325,0.06625,0.08124999999999998,0.47034509999999996,0.1,True,-0.44799999999999995
global@0.81,global,0.81,,0.45242209999999994,0.37,1.262,0.0631,0.06549999999999997,0.44587209999999994,0.1,True,-0.5109999999999999
global@0.83,global,0.83,,0.4308633,0.353,1.218,0.0609,0.05449999999999997,0.4254133,0.1,True,-0.5549999999999999
global@0.85,global,0.85,,0.4097206,0.334,1.175,0.05875000000000001,0.04375000000000001,0.4053456,0.1,True,-0.5979999999999999
global@0.87,global,0.87,,0.3791747,0.31,1.128,0.056400000000000006,0.03199999999999998,0.3759747,0.1,True,-0.645
global@0.89,global,0.89,,0.35184129999999997,0.282,1.085,0.054250000000000013,0.021250000000000022,0.3497163,0.1,True,-0.688
global@0.91,global,0.91,,0.3287967,0.265,1.055,0.05275000000000001,0.013750000000000014,0.3274217,0.1,True,-0.718
global@0.93,global,0.93,,0.3097744,0.249,1.029,0.05145000000000001,0.00725,0.30904940000000003,0.1,True,-0.744
global@0.95,global,0.95,,0.2969562,0.235,1.012,0.050600000000000006,0.0029999999999999823,0.2966562,0.1,True,-0.7609999999999999
global@0.97,global,0.97,,0.2894562,0.227,1.004,0.05020000000000001,0.000999999999999994,0.2893562,0.1,True,-0.7689999999999999
