policy_name,policy_type,threshold,per_step_thresholds,avg_f1,avg_em,avg_steps,avg_cost,normalized_cost,utility,utility_lambda,is_feasible_under_gw_cap,steps_gap_to_gw_dev
global@0.01,global,0.01,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.03,global,0.03,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.05,global,0.05,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.07,global,0.07,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.09,global,0.09,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.11,global,0.11,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.13,global,0.13,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.15,global,0.15,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.17,global,0.17,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.19,global,0.19,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.21,global,0.21,,0.5354222999999999,0.416,5.0,0.25,1.0,0.43542229999999993,0.1,False,3.2270000000000003
global@0.23,global,0.23,,0.5354222999999999,0.416,4.995,0.24975,0.99875,0.4355472999999999,0.1,False,3.2220000000000004
global@0.25,global,0.25,,0.5354222999999999,0.416,4.979,0.24894999999999998,0.9947499999999999,0.4359472999999999,0.1,False,3.2060000000000004
global@0.27,global,0.27,,0.5374222999999999,0.418,4.922,0.24609999999999999,0.9804999999999999,0.43937229999999994,0.1,False,3.149
global@0.29,global,0.29,,0.5374222999999999,0.418,4.855,0.24275,0.96375,0.4410472999999999,0.1,False,3.0820000000000007
global@0.31,global,0.31,,0.5370889999999999,0.417,4.751,0.23755,0.9377500000000001,0.44331399999999993,0.1,False,2.9780000000000006
global@0.33,global,0.33,,0.5395335,0.419,4.656,0.2328,0.914,0.44813349999999996,0.1,False,2.883
global@0.35,global,0.35,,0.5415335,0.421,4.552,0.2276,0.888,0.4527335,0.1,False,2.779
global@0.37,global,0.37,,0.5438002,0.423,4.428,0.2214,0.8570000000000001,0.45810019999999996,0.1,False,2.6550000000000002
global@0.39,global,0.39,,0.5511573,0.431,4.268,0.2134,0.8170000000000001,0.46945729999999997,0.1,False,2.495
global@0.41,global,0.41,,0.5550041,0.436,4.089,0.20445000000000002,0.7722500000000001,0.4777791,0.1,False,2.3160000000000007
global@0.43,global,0.43,,0.5589231,0.442,3.882,0.1941,0.7204999999999999,0.4868731,0.1,False,2.109
global@0.45,global,0.45,,0.5604492,0.451,3.626,0.18130000000000002,0.6565000000000001,0.4947992,0.1,False,1.853
global@0.47,global,0.47,,0.5699158999999999,0.463,3.374,0.16870000000000002,0.5935,0.5105658999999999,0.1,False,1.6010000000000002
global@0.49,global,0.49,,0.5792830999999999,0.474,3.101,0.15505000000000002,0.5252500000000001,0.5267580999999999,0.1,False,1.328
global@0.51,global,0.51,,0.5865371,0.488,2.813,0.14065000000000003,0.4532500000000001,0.5412121,0.1,False,1.0400000000000003
global@0.53,global,0.53,,0.5946033,0.499,2.588,0.12940000000000004,0.3970000000000002,0.5549032999999999,0.1,False,0.8150000000000002
global@0.55,global,0.55,,0.5946652,0.5,2.428,0.12140000000000004,0.35700000000000015,0.5589651999999999,0.1,False,0.655
global@0.57,global,0.57,,0.6030712,0.511,2.3,0.11500000000000002,0.325,0.5705712000000001,0.1,False,0.5269999999999999
global@0.59,global,0.59,,0.6084665,0.518,2.202,0.11010000000000002,0.30050000000000004,0.5784165,0.1,False,0.42900000000000005
global@0.61,global,0.61,,0.6076475,0.516,2.125,0.10625000000000002,0.2812500000000001,0.5795224999999999,0.1,False,0.3520000000000001
global@0.63,global,0.63,,0.5986027,0.507,2.017,0.10085000000000002,0.2542500000000001,0.5731777,0.1,False,0.244
global@0.65,global,0.65,,0.5944982999999999,0.503,1.91,0.09550000000000003,0.22750000000000012,0.5717482999999999,0.1,False,0.137
global@0.67,global,0.67,,0.5819704,0.491,1.816,0.0908,0.204,0.5615704,0.1,True,0.04300000000000015
global@0.69,global,0.69,,0.580571,0.49,1.709,0.08545000000000001,0.17725000000000002,0.562846,0.1,True,-0.06399999999999983
global@0.71,global,0.71,,0.5674096,0.477,1.62,0.08100000000000003,0.1550000000000001,0.5519096,0.1,True,-0.1529999999999998
global@0.73,global,0.73,,0.552332,0.463,1.553,0.07765000000000002,0.1382500000000001,0.5385070000000001,0.1,True,-0.21999999999999997
global@0.75,global,0.75,,0.5379993,0.449,1.489,0.07445000000000002,0.12225000000000004,0.5257742999999999,0.1,True,-0.2839999999999998
global@0.77,global,0.77,,0.5137927999999999,0.426,1.42,0.07100000000000001,0.105,0.5032928,0.1,True,-0.353
global@0.79,global,0.79,,0.4900558,0.403,1.357,0.06785000000000002,0.08925000000000007,0.48113079999999997,0.1,True,-0.4159999999999999
global@0.81,global,0.81,,0.4651477,0.382,1.288,0.0644,0.07199999999999995,0.4579477,0.1,True,-0.4849999999999999
global@0.83,global,0.83,,0.4386786999999999,0.359,1.234,0.06170000000000001,0.05850000000000002,0.4328286999999999,0.1,True,-0.5389999999999999
global@0.85,global,0.85,,0.40573159999999997,0.328,1.174,0.058700000000000016,0.04350000000000004,0.40138159999999995,0.1,True,-0.599
global@0.87,global,0.87,,0.3832518,0.311,1.136,0.05680000000000001,0.034,0.37985179999999996,0.1,True,-0.637
global@0.89,global,0.89,,0.3569661,0.287,1.097,0.05485000000000001,0.024250000000000004,0.3545411,0.1,True,-0.6759999999999999
global@0.91,global,0.91,,0.3276856,0.263,1.054,0.05270000000000001,0.013500000000000007,0.3263356,0.1,True,-0.7189999999999999
global@0.93,global,0.93,,0.3101633,0.248,1.028,0.051400000000000015,0.007000000000000028,0.3094633,0.1,True,-0.7449999999999999
global@0.95,global,0.95,,0.2993653,0.237,1.015,0.05075000000000002,0.0037500000000000385,0.2989903,0.1,True,-0.758
global@0.97,global,0.97,,0.2894562,0.227,1.004,0.05020000000000001,0.000999999999999994,0.2893562,0.1,True,-0.7689999999999999
global@0.99,global,0.99,,0.28595620000000005,0.224,1.0,0.05000000000000001,0.0,0.28595620000000005,0.1,True,-0.7729999999999999
