policy_name,policy_type,threshold,per_step_thresholds,avg_f1,avg_em,avg_steps,avg_cost,normalized_cost,utility,utility_lambda,is_feasible_under_gw_cap,steps_gap_to_gw_dev
global@0.01,global,0.01,,0.45345440000000004,0.358,5.0,0.25,1.0,0.35345440000000006,0.1,False,2.103
global@0.03,global,0.03,,0.45345440000000004,0.358,5.0,0.25,1.0,0.35345440000000006,0.1,False,2.103
global@0.05,global,0.05,,0.45345440000000004,0.358,5.0,0.25,1.0,0.35345440000000006,0.1,False,2.103
global@0.07,global,0.07,,0.45345440000000004,0.358,5.0,0.25,1.0,0.35345440000000006,0.1,False,2.103
global@0.09,global,0.09,,0.45345440000000004,0.358,5.0,0.25,1.0,0.35345440000000006,0.1,False,2.103
global@0.11,global,0.11,,0.45345440000000004,0.358,5.0,0.25,1.0,0.35345440000000006,0.1,False,2.103
global@0.13,global,0.13,,0.45345440000000004,0.358,5.0,0.25,1.0,0.35345440000000006,0.1,False,2.103
global@0.15,global,0.15,,0.45345440000000004,0.358,5.0,0.25,1.0,0.35345440000000006,0.1,False,2.103
global@0.17,global,0.17,,0.45345440000000004,0.358,5.0,0.25,1.0,0.35345440000000006,0.1,False,2.103
global@0.19,global,0.19,,0.45345440000000004,0.358,5.0,0.25,1.0,0.35345440000000006,0.1,False,2.103
global@0.21,global,0.21,,0.45345440000000004,0.358,5.0,0.25,1.0,0.35345440000000006,0.1,False,2.103
global@0.23,global,0.23,,0.45345440000000004,0.358,5.0,0.25,1.0,0.35345440000000006,0.1,False,2.103
global@0.25,global,0.25,,0.45345440000000004,0.358,4.999,0.24994999999999998,0.9997499999999999,0.35347940000000005,0.1,False,2.102
global@0.27,global,0.27,,0.45345440000000004,0.358,4.998,0.2499,0.9995,0.35350440000000005,0.1,False,2.1010000000000004
global@0.29,global,0.29,,0.45345440000000004,0.358,4.991,0.24955000000000002,0.9977500000000001,0.35367940000000003,0.1,False,2.094
global@0.31,global,0.31,,0.45395440000000004,0.359,4.958,0.2479,0.9895,0.3550044,0.1,False,2.0610000000000004
global@0.33,global,0.33,,0.4552877,0.361,4.923,0.24615,0.98075,0.3572127,0.1,False,2.0260000000000002
global@0.35,global,0.35,,0.4578877,0.364,4.848,0.2424,0.962,0.3616877,0.1,False,1.951
global@0.37,global,0.37,,0.4598877,0.366,4.731,0.23655,0.9327500000000001,0.3666127,0.1,False,1.834
global@0.39,global,0.39,,0.46222100000000005,0.369,4.61,0.2305,0.9025000000000001,0.37197100000000005,0.1,False,1.7130000000000005
global@0.41,global,0.41,,0.4594710000000001,0.367,4.442,0.22210000000000002,0.8605,0.37342100000000006,0.1,False,1.5450000000000004
global@0.43,global,0.43,,0.4561333,0.363,4.29,0.2145,0.8225,0.37388330000000003,0.1,False,1.3930000000000002
global@0.45,global,0.45,,0.4594278,0.365,4.121,0.20605,0.78025,0.3814028,0.1,False,1.2240000000000006
global@0.47,global,0.47,,0.45629770000000003,0.36,3.931,0.19655,0.73275,0.38302270000000005,0.1,False,1.0340000000000003
global@0.49,global,0.49,,0.4566133,0.359,3.74,0.187,0.6849999999999999,0.3881133,0.1,False,0.8430000000000004
global@0.51,global,0.51,,0.46000800000000003,0.36,3.547,0.17735000000000004,0.6367500000000001,0.396333,0.1,False,0.6500000000000004
global@0.53,global,0.53,,0.46504110000000004,0.364,3.323,0.16615,0.5807499999999999,0.40696610000000005,0.1,False,0.42600000000000016
global@0.55,global,0.55,,0.46907610000000005,0.365,3.137,0.15685000000000002,0.53425,0.41565110000000005,0.1,False,0.2400000000000002
global@0.57,global,0.57,,0.47006129999999996,0.366,2.952,0.1476,0.488,0.42126129999999995,0.1,True,0.05500000000000016
global@0.59,global,0.59,,0.4637683,0.359,2.78,0.139,0.445,0.41926830000000004,0.1,True,-0.11699999999999999
global@0.61,global,0.61,,0.45997499999999997,0.354,2.619,0.13095,0.40475,0.4195,0.1,True,-0.2779999999999996
global@0.63,global,0.63,,0.4516168,0.342,2.499,0.12495000000000002,0.37475000000000014,0.41414179999999995,0.1,True,-0.3979999999999997
global@0.65,global,0.65,,0.44059810000000005,0.331,2.383,0.11915000000000002,0.3457500000000001,0.4060231,0.1,True,-0.5139999999999998
global@0.67,global,0.67,,0.42371960000000003,0.316,2.236,0.11180000000000001,0.30900000000000005,0.39281960000000005,0.1,True,-0.6609999999999996
global@0.69,global,0.69,,0.4153377,0.304,2.109,0.10545000000000002,0.27725000000000005,0.3876127,0.1,True,-0.7879999999999998
