policy_name,policy_type,threshold,per_step_thresholds,avg_f1,avg_em,avg_steps,avg_cost,normalized_cost,utility,utility_lambda,is_feasible_under_gw_cap,steps_gap_to_gw_dev
global@0.01,global,0.01,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.03,global,0.03,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.05,global,0.05,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.07,global,0.07,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.09,global,0.09,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.11,global,0.11,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.13,global,0.13,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.15,global,0.15,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.17,global,0.17,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.19,global,0.19,,0.4213785,0.308,5.0,0.25,1.0,0.3213785,0.1,False,2.035
global@0.21,global,0.21,,0.4213785,0.308,4.999,0.24994999999999998,0.9997499999999999,0.3214035,0.1,False,2.034
global@0.23,global,0.23,,0.4213785,0.308,4.993,0.24965,0.9982500000000001,0.3215535,0.1,False,2.0280000000000005
global@0.25,global,0.25,,0.4223785,0.309,4.985,0.24925,0.99625,0.32275349999999997,0.1,False,2.0200000000000005
global@0.27,global,0.27,,0.4233785,0.31,4.968,0.24839999999999998,0.9919999999999999,0.3241785,0.1,False,2.003
global@0.29,global,0.29,,0.42581179999999996,0.314,4.927,0.24635,0.98175,0.32763679999999995,0.1,False,1.9619999999999997
global@0.31,global,0.31,,0.42681179999999996,0.315,4.892,0.24459999999999998,0.9729999999999999,0.32951179999999997,0.1,False,1.9270000000000005
global@0.33,global,0.33,,0.42681179999999996,0.315,4.848,0.24239999999999998,0.9619999999999999,0.33061179999999996,0.1,False,1.883
global@0.35,global,0.35,,0.4319284,0.321,4.797,0.23985,0.94925,0.33700339999999995,0.1,False,1.8319999999999999
global@0.37,global,0.37,,0.4311284,0.321,4.718,0.23589999999999997,0.9294999999999999,0.33817840000000005,0.1,False,1.7530000000000001
global@0.39,global,0.39,,0.4303951,0.32,4.622,0.23110000000000003,0.9055000000000001,0.33984509999999996,0.1,False,1.657
global@0.41,global,0.41,,0.4311094,0.321,4.547,0.22735000000000002,0.8867500000000001,0.34243439999999997,0.1,False,1.5819999999999999
global@0.43,global,0.43,,0.4308618,0.321,4.44,0.222,0.86,0.3448618,0.1,False,1.4750000000000005
global@0.45,global,0.45,,0.4305285,0.32,4.313,0.21565,0.82825,0.34770349999999994,0.1,False,1.3479999999999999
global@0.47,global,0.47,,0.4297194,0.321,4.186,0.2093,0.7965000000000001,0.3500694,0.1,False,1.221
global@0.49,global,0.49,,0.4293908,0.321,4.045,0.20225,0.7612500000000001,0.3532658,0.1,False,1.08
global@0.51,global,0.51,,0.4284161,0.321,3.884,0.1942,0.7210000000000001,0.3563161,0.1,False,0.919
global@0.53,global,0.53,,0.431887,0.319,3.694,0.18469999999999998,0.6734999999999999,0.364537,0.1,False,0.7290000000000001
global@0.55,global,0.55,,0.4394975,0.325,3.509,0.17545000000000002,0.6272500000000001,0.37677249999999995,0.1,False,0.544
global@0.57,global,0.57,,0.4365127,0.319,3.302,0.16510000000000002,0.5755000000000001,0.3789627,0.1,False,0.3370000000000002
global@0.59,global,0.59,,0.4336242,0.313,3.117,0.15585000000000002,0.52925,0.3806992,0.1,False,0.15200000000000014
global@0.61,global,0.61,,0.4327036,0.312,2.938,0.14690000000000003,0.4845000000000001,0.38425360000000003,0.1,True,-0.02699999999999969
global@0.63,global,0.63,,0.43244419999999995,0.308,2.758,0.13790000000000002,0.43950000000000006,0.38849419999999996,0.1,True,-0.20699999999999985
global@0.65,global,0.65,,0.4225227,0.3,2.605,0.13025,0.40125,0.38239769999999995,0.1,True,-0.3599999999999999
global@0.67,global,0.67,,0.4117052,0.287,2.427,0.12135000000000003,0.3567500000000002,0.3760302,0.1,True,-0.5379999999999998
global@0.69,global,0.69,,0.399625,0.274,2.28,0.11400000000000002,0.32,0.367625,0.1,True,-0.685
global@0.71,global,0.71,,0.3834702,0.263,2.118,0.10590000000000002,0.2795000000000001,0.35552019999999995,0.1,True,-0.847
global@0.73,global,0.73,,0.3612608,0.242,1.986,0.09930000000000001,0.24650000000000002,0.3366108,0.1,True,-0.9789999999999999
global@0.75,global,0.75,,0.3319533,0.219,1.828,0.09140000000000001,0.20700000000000002,0.3112533,0.1,True,-1.1369999999999998
global@0.77,global,0.77,,0.3052146,0.196,1.677,0.08385000000000002,0.16925000000000007,0.2882896,0.1,True,-1.2879999999999998
global@0.79,global,0.79,,0.2787115,0.17,1.523,0.07615000000000001,0.13075,0.2656365,0.1,True,-1.442
global@0.81,global,0.81,,0.2532422,0.152,1.393,0.06965,0.09824999999999998,0.24341719999999997,0.1,True,-1.5719999999999998
global@0.83,global,0.83,,0.22007110000000002,0.124,1.258,0.06290000000000001,0.06450000000000002,0.2136211,0.1,True,-1.7069999999999999
global@0.85,global,0.85,,0.1850533,0.094,1.14,0.057000000000000016,0.03500000000000003,0.1815533,0.1,True,-1.825
global@0.87,global,0.87,,0.1542599,0.069,1.06,0.05300000000000001,0.015000000000000015,0.1527599,0.1,True,-1.9049999999999998
global@0.89,global,0.89,,0.13541640000000002,0.053,1.019,0.05095000000000001,0.004749999999999997,0.13494140000000002,0.1,True,-1.946
global@0.91,global,0.91,,0.133083,0.051,1.007,0.050350000000000006,0.001749999999999981,0.132908,0.1,True,-1.958
global@0.93,global,0.93,,0.131083,0.049,1.0,0.05000000000000001,0.0,0.131083,0.1,True,-1.9649999999999999
