dataset,method,checkpoint,threshold,n,avg_f1,avg_em,avg_acc,avg_steps,stop_distribution,missing_steps,metrics_path
2wikimultihopqa,Stop-RAG,2400,-0.03,1000,0.5534321345321346,0.466,0.481,2.87,"{""1"": 14, ""2"": 560, ""3"": 153, ""4"": 88, ""5"": 185}",False,baselines/stop-rag-pandora/results/2wikimultihopqa_ours_contriever/online_test/2wikimultihopqa_test_ckpt2400_thr-0.03.metrics.json
2wikimultihopqa,Stop-RAG,2400,-0.06,1000,0.5552016511266511,0.472,0.486,2.536,"{""1"": 44, ""2"": 665, ""3"": 117, ""4"": 59, ""5"": 115}",False,baselines/stop-rag-pandora/results/2wikimultihopqa_ours_contriever/online_test/2wikimultihopqa_test_ckpt2400_thr-0.06.metrics.json
2wikimultihopqa,Stop-RAG,2400,-0.09,1000,0.5438681429681429,0.462,0.477,2.323,"{""1"": 64, ""2"": 738, ""3"": 78, ""4"": 51, ""5"": 69}",False,baselines/stop-rag-pandora/results/2wikimultihopqa_ours_contriever/online_test/2wikimultihopqa_test_ckpt2400_thr-0.09.metrics.json
2wikimultihopqa,Stop-RAG,2400,-0.12,1000,0.5429119158619159,0.464,0.478,2.196,"{""1"": 75, ""2"": 770, ""3"": 73, ""4"": 48, ""5"": 34}",False,baselines/stop-rag-pandora/results/2wikimultihopqa_ours_contriever/online_test/2wikimultihopqa_test_ckpt2400_thr-0.12.metrics.json
2wikimultihopqa,Stop-RAG,2400,-0.16,1000,0.5377131590631591,0.456,0.471,2.062,"{""1"": 97, ""2"": 797, ""3"": 61, ""4"": 37, ""5"": 8}",False,baselines/stop-rag-pandora/results/2wikimultihopqa_ours_contriever/online_test/2wikimultihopqa_test_ckpt2400_thr-0.16.metrics.json
2wikimultihopqa,Stop-RAG,2400,-0.2,1000,0.5285920967920967,0.447,0.461,1.958,"{""1"": 129, ""2"": 806, ""3"": 46, ""4"": 16, ""5"": 3}",False,baselines/stop-rag-pandora/results/2wikimultihopqa_ours_contriever/online_test/2wikimultihopqa_test_ckpt2400_thr-0.20.metrics.json
2wikimultihopqa,Stop-RAG,2400,0.0,1000,0.527110744311263,0.438,0.452,3.497,"{""1"": 3, ""2"": 317, ""3"": 204, ""4"": 132, ""5"": 344}",False,baselines/stop-rag-pandora/results/2wikimultihopqa_ours_contriever/online_test/2wikimultihopqa_test_ckpt2400_thr0.00.metrics.json
2wikimultihopqa,Stop-RAG,2400,0.03,1000,0.5054474678512951,0.409,0.423,4.449,"{""2"": 61, ""3"": 116, ""4"": 136, ""5"": 687}",False,baselines/stop-rag-pandora/results/2wikimultihopqa_ours_contriever/online_test/2wikimultihopqa_test_ckpt2400_thr0.03.metrics.json
2wikimultihopqa,Stop-RAG,2400,0.06,1000,0.5106911808534521,0.41,0.426,4.925,"{""2"": 4, ""3"": 18, ""4"": 27, ""5"": 951}",False,baselines/stop-rag-pandora/results/2wikimultihopqa_ours_contriever/online_test/2wikimultihopqa_test_ckpt2400_thr0.06.metrics.json
2wikimultihopqa,Stop-RAG,2400,0.1,1000,0.5133864316810559,0.412,0.428,4.997,"{""3"": 1, ""4"": 1, ""5"": 998}",False,baselines/stop-rag-pandora/results/2wikimultihopqa_ours_contriever/online_test/2wikimultihopqa_test_ckpt2400_thr0.10.metrics.json
