dataset,method,checkpoint,threshold,n,avg_f1,avg_em,avg_acc,avg_steps,stop_distribution,missing_steps,metrics_path
2wikimultihopqa,Stop-RAG,2400,-0.2,1000,0.5285920967920967,0.447,0.461,1.958,"{""1"": 129, ""2"": 806, ""3"": 46, ""4"": 16, ""5"": 3}",False,baselines/stop-rag-pandora/results/2wikimultihopqa_ours_contriever/online_test/2wikimultihopqa_test_ckpt2400_thr-0.20.metrics.json
2wikimultihopqa,Stop-RAG,2400,-0.16,1000,0.5377131590631591,0.456,0.471,2.062,"{""1"": 97, ""2"": 797, ""3"": 61, ""4"": 37, ""5"": 8}",False,baselines/stop-rag-pandora/results/2wikimultihopqa_ours_contriever/online_test/2wikimultihopqa_test_ckpt2400_thr-0.16.metrics.json
2wikimultihopqa,Stop-RAG,2400,-0.12,1000,0.5429119158619159,0.464,0.478,2.196,"{""1"": 75, ""2"": 770, ""3"": 73, ""4"": 48, ""5"": 34}",False,baselines/stop-rag-pandora/results/2wikimultihopqa_ours_contriever/online_test/2wikimultihopqa_test_ckpt2400_thr-0.12.metrics.json
2wikimultihopqa,Stop-RAG,2400,-0.09,1000,0.5438681429681429,0.462,0.477,2.323,"{""1"": 64, ""2"": 738, ""3"": 78, ""4"": 51, ""5"": 69}",False,baselines/stop-rag-pandora/results/2wikimultihopqa_ours_contriever/online_test/2wikimultihopqa_test_ckpt2400_thr-0.09.metrics.json
2wikimultihopqa,Stop-RAG,2400,-0.06,1000,0.5552016511266511,0.472,0.486,2.536,"{""1"": 44, ""2"": 665, ""3"": 117, ""4"": 59, ""5"": 115}",False,baselines/stop-rag-pandora/results/2wikimultihopqa_ours_contriever/online_test/2wikimultihopqa_test_ckpt2400_thr-0.06.metrics.json
hotpotqa,Stop-RAG,1000,-0.12,1000,0.4110214734972629,0.308,0.378,1.0,"{""1"": 1000}",False,baselines/stop-rag-pandora/results/hotpotqa_ours_contriever/online_test/hotpotqa_test_ckpt1000_thr-0.12.metrics.json
hotpotqa,Stop-RAG,1000,-0.03,1000,0.6100343871866756,0.475,0.561,5.0,"{""5"": 1000}",False,baselines/stop-rag-pandora/results/hotpotqa_ours_contriever/online_test/hotpotqa_test_ckpt1000_thr-0.03.metrics.json
musique,Stop-RAG,1200,-0.2,417,0.23970030024882144,0.17266187050359713,0.2158273381294964,3.2038369304556356,"{""1"": 18, ""2"": 115, ""3"": 117, ""4"": 98, ""5"": 69}",False,baselines/stop-rag-pandora/results/musique_ours_contriever/online_test/musique_test_ckpt1200_thr-0.20.metrics.json
musique,Stop-RAG,1200,-0.16,417,0.24515355066404945,0.17026378896882494,0.2158273381294964,3.4772182254196644,"{""1"": 4, ""2"": 97, ""3"": 111, ""4"": 106, ""5"": 99}",False,baselines/stop-rag-pandora/results/musique_ours_contriever/online_test/musique_test_ckpt1200_thr-0.16.metrics.json
musique,Stop-RAG,1200,-0.12,417,0.2628532955271274,0.18225419664268586,0.2422062350119904,3.7314148681055155,"{""2"": 77, ""3"": 97, ""4"": 104, ""5"": 139}",False,baselines/stop-rag-pandora/results/musique_ours_contriever/online_test/musique_test_ckpt1200_thr-0.12.metrics.json
musique,Stop-RAG,1200,-0.06,417,0.2686601934868528,0.19904076738609114,0.2517985611510791,4.328537170263789,"{""2"": 14, ""3"": 76, ""4"": 86, ""5"": 241}",False,baselines/stop-rag-pandora/results/musique_ours_contriever/online_test/musique_test_ckpt1200_thr-0.06.metrics.json
musique,Stop-RAG,1200,-0.03,417,0.27311375257546705,0.2038369304556355,0.26139088729016785,4.570743405275779,"{""2"": 6, ""3"": 45, ""4"": 71, ""5"": 295}",False,baselines/stop-rag-pandora/results/musique_ours_contriever/online_test/musique_test_ckpt1200_thr-0.03.metrics.json
