dataset,comparison,n,delta_f1_mean,delta_f1_ci_low,delta_f1_ci_high,delta_f1_bootstrap_std,paired_permutation_p,ci_excludes_zero
hotpotqa,Probe - Best Fixed-K,1000,-0.020665799999999998,-0.041744670000000005,0.0006220024999999986,0.01075573932131734,0.05138972205558888,False
hotpotqa,Probe - Global-Weitzman,1000,-0.0523342,-0.06949262499999999,-0.03512672750000001,0.008720125729172034,0.0001999600079984003,True
hotpotqa,Probe+E-value - Probe,1000,0.008504,-0.0002643999999999999,0.01757215999999999,0.004560969803377557,0.0643871225754849,False
hotpotqa,Probe+E-value - Stop-RAG,1000,0.05534321281332449,0.028131350879545707,0.0834098729436569,0.01399166758501191,0.0001999600079984003,True
musique,Probe - Best Fixed-K,417,0.012994004796163068,-0.015623075539568343,0.04115631894484411,0.01458636733428937,0.3915216956608678,False
musique,Probe - Global-Weitzman,417,-0.007652278177458035,-0.032422553956834535,0.016288705035971178,0.01238654635585209,0.5372925414917017,False
musique,Probe+E-value - Probe,417,-0.002579856115107914,-0.009592326139088728,0.0020345323741007195,0.0028788884293148172,0.4833033393321336,False
musique,Probe+E-value - Stop-RAG,417,0.13953996445091185,0.09457610508890214,0.1821993166551249,0.02258520423419142,0.0001999600079984003,True
2wiki,Probe - Best Fixed-K,1000,-0.026828200000000003,-0.049093595,-0.004117745000000003,0.011532543158006971,0.020195960807838434,True
2wiki,Probe - Global-Weitzman,1000,-0.0809902,-0.10052195000000001,-0.062088607500000004,0.009669739769021683,0.0001999600079984003,True
2wiki,Probe+E-value - Probe,1000,0.0088778,0.0018619125000000007,0.01667156,0.0038168409523900125,0.016996600679864027,True
2wiki,Probe+E-value - Stop-RAG,1000,0.017610848873348874,-0.009375921729381731,0.04564739895854147,0.014138636282834008,0.21895620875824834,False
